id,name,value,changePercentage,change,turnover,volume,open,high,low,updatedOn
1,A Capital Holding,1.57,0.65,0.01,2467430,1568613,1.55,1.61,1.54,8/12/2024
1,A Capital Holding,1.51,-6.79,-0.11,4680878.5,3081110,1.62,1.6,1.44,8/5/2024
1,A Capital Holding,1.57,2.61,0.04,4028107.75,2597183,1.53,1.59,1.46,8/6/2024
1,A Capital Holding,1.56,-0.64,-0.01,3431981,2160400,1.57,1.62,1.55,8/7/2024
1,A Capital Holding,1.52,-2.56,-0.04,2321227,1510755,1.56,1.59,1.5,8/8/2024
1,A Capital Holding,1.56,2.63,0.04,2513165.5,1625334,1.52,1.57,1.52,8/11/2024
1,A Capital Holding,1.56,0,0,1442529.25,919894,1.56,1.59,1.55,8/13/2024
1,A Capital Holding,1.59,0,0,918315.25,584236,1.57,1.59,1.56,8/15/2024
1,A Capital Holding,1.59,1.27,0.02,4561458,2866768,1.57,1.62,1.57,8/18/2024
1,A Capital Holding,1.7,6.92,0.11,8294722,4895549,1.59,1.78,1.59,8/19/2024
1,A Capital Holding,1.66,-2.35,-0.04,1613255.75,965783,1.7,1.71,1.65,8/20/2024
1,A Capital Holding,1.67,0.6,0.01,897972.88,543800,1.66,1.69,1.63,8/21/2024
1,A Capital Holding,1.68,1.82,0.03,2000690.5,1182406,1.65,1.73,1.65,8/24/2024
1,A Capital Holding,1.69,0.6,0.01,1788271.88,1048857,1.68,1.74,1.66,8/25/2024
1,A Capital Holding,1.68,0,0,2821041,1695729,1.68,1.72,1.59,8/27/2024
1,A Capital Holding,1.65,0,0,2938562.75,1781239,1.65,1.68,1.63,8/28/2024
1,A Capital Holding,1.97,2.6,0.05,6749425.5,3384391,1.92,2.08,1.92,9/8/2024
1,A Capital Holding,1.9,2.7,0.05,3104241,1658127,1.85,1.92,1.83,9/15/2024
1,A Capital Holding,1.99,-2.45,-0.05,3211152,1588885,2.04,2.06,1.97,9/23/2024
1,A Capital Holding,2.47,19.9,0.41,24926002,10616964,2.06,2.47,2.07,10/1/2024
1,A Capital Holding,2.35,-4.86,-0.12,29839464,11757323,2.47,2.8,2.34,10/2/2024
1,A Capital Holding,2.44,3.83,0.09,18058476,7210297,2.35,2.71,2.38,10/4/2024
1,A Capital Holding,2.3,-5.74,-0.14,7492747.5,3184021,2.44,2.52,2.22,10/7/2024
1,A Capital Holding,2.62,5.65,0.14,24625164,9015632,2.48,2.97,2.51,10/10/2024
1,A Capital Holding,2.95,14.79,0.38,19361086,6920263,2.57,3.05,2.59,10/15/2024
1,A Capital Holding,2.83,1.43,0.04,14124777,4852918,2.79,3,2.78,10/22/2024
2,Abu Dhabi Islamic Ba,39.87,-2.98,-1.22,35648804,882589,41,41.2,39.5,8/12/2024
2,Abu Dhabi Islamic Ba,38.36,1.03,0.39,63600784,1689030,37.97,39,36.53,8/5/2024
2,Abu Dhabi Islamic Ba,38.77,1.07,0.41,57366008,1486462,38.36,38.8,38,8/6/2024
2,Abu Dhabi Islamic Ba,39,0.59,0.23,70892400,1819268,38.77,39.4,38.55,8/7/2024
2,Abu Dhabi Islamic Ba,40,2.56,1,30902238,784609,39,40.05,38.7,8/8/2024
2,Abu Dhabi Islamic Ba,41,2.5,1,33417416,816622,40,41.3,40.25,8/11/2024
2,Abu Dhabi Islamic Ba,38.99,-1.99,-0.79,42279048,1067130,39.78,40.7,38.55,8/13/2024
2,Abu Dhabi Islamic Ba,40.27,2.23,0.88,32727386,813762,39.39,40.91,39.34,8/15/2024
2,Abu Dhabi Islamic Ba,40.78,1.27,0.51,13130299,323187,40.27,41,40.27,8/18/2024
2,Abu Dhabi Islamic Ba,40.25,-1.3,-0.53,8864837,220645,40.78,40.85,39.88,8/19/2024
2,Abu Dhabi Islamic Ba,41,1.86,0.75,26872764,658858,40.25,41.19,39.91,8/20/2024
2,Abu Dhabi Islamic Ba,42.89,4.61,1.89,73590936,1736411,41,42.89,41,8/21/2024
2,Abu Dhabi Islamic Ba,42.87,-0.05,-0.02,48472044,1125938,42.89,44.11,42.3,8/24/2024
2,Abu Dhabi Islamic Ba,42.5,-0.86,-0.37,11119949,259736,42.87,43.51,42.3,8/25/2024
2,Abu Dhabi Islamic Ba,42.54,0.21,0.09,72035784,1695124,42.45,42.74,42.3,8/27/2024
2,Abu Dhabi Islamic Ba,44.11,1.52,0.66,25330188,576080,43.45,44.6,43.02,8/28/2024
2,Abu Dhabi Islamic Ba,40.71,-2.84,-1.19,13453798,327511,41.9,42,40.7,9/8/2024
2,Abu Dhabi Islamic Ba,39.21,-1.8,-0.72,5027598,125846,39.93,40.47,39.21,9/15/2024
2,Abu Dhabi Islamic Ba,39.5,-0.38,-0.15,20345788,513891,39.65,39.95,39.41,9/23/2024
2,Abu Dhabi Islamic Ba,40.41,-0.71,-0.29,23829488,586405,40.7,40.9,40.35,10/1/2024
2,Abu Dhabi Islamic Ba,39.59,-2.2,-0.89,18729080,470643,40.48,40.4,39.5,10/2/2024
2,Abu Dhabi Islamic Ba,39.4,-0.48,-0.19,68931712,1758715,39.59,39.96,38.9,10/4/2024
2,Abu Dhabi Islamic Ba,38.68,-1.83,-0.72,63135184,1632553,39.4,39.75,38,10/7/2024
2,Abu Dhabi Islamic Ba,37.56,-1.16,-0.44,14047424,375546,38,38.4,37.1,10/10/2024
2,Abu Dhabi Islamic Ba,36.98,-0.05,-0.02,26449636,714333,37,37.38,36.9,10/15/2024
2,Abu Dhabi Islamic Ba,38.53,4.33,1.6,65263076,1695962,36.93,38.99,37.22,10/22/2024
3,Abu Qir Fertilizers,55.65,-1.68,-0.95,218042480,3844698,56.6,57.7,55.6,8/12/2024
3,Abu Qir Fertilizers,56.47,-3.11,-1.81,115893976,2084917,58.28,57.39,54.04,8/5/2024
3,Abu Qir Fertilizers,56.36,-0.19,-0.11,56251628,995956,56.47,57.25,56.03,8/6/2024
3,Abu Qir Fertilizers,55.95,-0.73,-0.41,90390240,1611515,56.36,56.95,55.67,8/7/2024
3,Abu Qir Fertilizers,55.6,-0.63,-0.35,164636592,2933718,55.95,56.5,55.12,8/8/2024
3,Abu Qir Fertilizers,56.6,1.8,1,132133200,2339565,55.6,56.88,55.8,8/11/2024
3,Abu Qir Fertilizers,55.13,-0.93,-0.52,121094856,2178763,55.65,56.3,55,8/13/2024
3,Abu Qir Fertilizers,58.6,1.21,0.7,256215648,4383023,57.9,59.24,57.6,8/15/2024
3,Abu Qir Fertilizers,57.41,-2.03,-1.19,123554808,2129115,58.6,59.17,57.4,8/18/2024
3,Abu Qir Fertilizers,57.39,-0.03,-0.02,72171648,1263336,57.41,57.68,56.67,8/19/2024
3,Abu Qir Fertilizers,58.5,1.93,1.11,95458984,1650155,57.39,58.59,57.2,8/20/2024
3,Abu Qir Fertilizers,57.56,-1.61,-0.94,98217872,1693100,58.5,58.95,57.37,8/21/2024
